model,Czech,Dutch,English,French,German,Japanese,Korean,Polish,Russian
jwhj/Qwen2.5-Math-1.5B-OREO,0.8618652699779897,0.5704413772073644,0.9428543484643063,0.8571400517854725,0.9761875391331856,0.4285712149455087,0.009523809523234542,0.8999983226142593,0.30476087017521375
nvidia/AceMath-1.5B-Instruct,0.03333326444823666,0.0,0.9999968379834127,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,0.5619030603293976,0.099999635905145,0.9999972058390804,0.1290318529705592,0.43333183341223397,0.31122436021951566,0.0,0.3333325146623425,0.7760805263115791
Qwen/Qwen2.5-Math-1.5B-Instruct,0.0,0.0,0.9999971964844482,0.009216620759936964,0.0,0.0,0.0,0.0,0.0
PRIME-RL/Eurus-2-7B-PRIME,0.0,0.0,0.9999975689590793,0.03686625613681103,0.0,0.0,0.0,0.0,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0.23333257313546624,0.0,0.9999970964861412,0.12903186584897122,0.0999997352296002,0.07142854792479857,0.0,0.0333332940400562,0.3857131962619357
nvidia/AceMath-7B-Instruct,0.0,0.0,0.8999974418288982,0.032257961074458594,0.0,0.03571428571221274,0.0,0.06666648788797849,0.0
Qwen/Qwen2.5-Math-7B-Instruct,0.0,0.0,0.9333305031385226,0.023041457034930973,0.0,0.025510190098530363,0.0,0.06666655496904658,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0.0,0.03333323590244429,0.9999968974226976,0.09677388950884287,0.16666622885898905,0.03571427203036107,0.0,0.0,0.6666645519376212
o3-mini,0.2571422296388561,0.26666578721015805,0.36666555098990977,0.4903143774263914,0.5333314906154683,0.0714285492734508,0.42380913222912847,0.5238086522612027,0.3666654313159695
