model,Afrikaans,Albanian,Arabic,Bengali,Bulgarian,Catalan,Chinese_(Simplified),Chinese_(Traditional),Croatian,Czech,Danish,Dutch,English,Estonian,Finnish,French,German,Greek,Gujarati,Hebrew,Hindi,Hungarian,Indonesian,Italian,Japanese,Kannada,Korean,Latvian,Lithuanian,Macedonian,Malayalam,Marathi,Nepali,Norwegian,Persian,Polish,Portuguese,Punjabi,Romanian,Russian,Slovak,Slovenian,Somali,Spanish,Swahili,Swedish,Tagalog,Tamil,Telugu,Thai,Turkish,Ukrainian,Urdu,Vietnamese,Welsh
PRIME-RL_Eurus-2-7B-PRIME,73.73737373737373,73.73737373737373,73.73737373737373,74.74747474747475,74.74747474747475,70.70707070707071,78.78787878787878,80.8080808080808,72.72727272727273,71.71717171717171,72.72727272727273,80.8080808080808,77.77777777777779,69.6969696969697,75.75757575757575,76.76767676767676,81.81818181818183,72.72727272727273,69.6969696969697,77.77777777777779,71.71717171717171,70.70707070707071,72.72727272727273,76.76767676767676,79.7979797979798,67.67676767676768,75.75757575757575,70.70707070707071,70.70707070707071,78.78787878787878,66.66666666666666,71.71717171717171,67.67676767676768,76.76767676767676,75.75757575757575,78.78787878787878,79.7979797979798,70.70707070707071,75.75757575757575,78.78787878787878,74.74747474747475,71.71717171717171,40.4040404040404,75.75757575757575,47.474747474747474,72.72727272727273,71.71717171717171,63.63636363636363,64.64646464646465,73.73737373737373,75.75757575757575,74.74747474747475,70.70707070707071,75.75757575757575,51.515151515151516
Qwen_Qwen2.5-Math-1.5B-Instruct,47.474747474747474,45.45454545454545,38.38383838383838,37.37373737373738,39.39393939393939,50.505050505050505,63.63636363636363,61.61616161616161,49.494949494949495,44.44444444444444,53.535353535353536,50.505050505050505,67.67676767676768,39.39393939393939,41.41414141414141,62.62626262626263,47.474747474747474,33.33333333333333,39.39393939393939,38.38383838383838,35.35353535353536,51.515151515151516,56.56565656565656,51.515151515151516,56.56565656565656,37.37373737373738,44.44444444444444,40.4040404040404,45.45454545454545,43.43434343434344,43.43434343434344,34.34343434343434,36.36363636363637,53.535353535353536,38.38383838383838,54.54545454545454,55.55555555555556,37.37373737373738,49.494949494949495,59.59595959595959,48.484848484848484,49.494949494949495,42.42424242424242,55.55555555555556,34.34343434343434,58.58585858585859,46.464646464646464,38.38383838383838,39.39393939393939,39.39393939393939,43.43434343434344,38.38383838383838,35.35353535353536,44.44444444444444,39.39393939393939
Qwen_Qwen2.5-Math-7B-Instruct,72.72727272727273,60.60606060606061,76.76767676767676,72.72727272727273,72.72727272727273,73.73737373737373,77.77777777777779,73.73737373737373,73.73737373737373,75.75757575757575,72.72727272727273,77.77777777777779,83.83838383838383,57.57575757575758,70.70707070707071,77.77777777777779,76.76767676767676,64.64646464646465,55.55555555555556,71.71717171717171,70.70707070707071,71.71717171717171,69.6969696969697,78.78787878787878,76.76767676767676,57.57575757575758,77.77777777777779,59.59595959595959,61.61616161616161,77.77777777777779,56.56565656565656,63.63636363636363,67.67676767676768,73.73737373737373,74.74747474747475,71.71717171717171,78.78787878787878,58.58585858585859,76.76767676767676,77.77777777777779,74.74747474747475,71.71717171717171,38.38383838383838,75.75757575757575,46.464646464646464,76.76767676767676,60.60606060606061,54.54545454545454,60.60606060606061,73.73737373737373,70.70707070707071,76.76767676767676,63.63636363636363,76.76767676767676,50.505050505050505
deepseek-ai_DeepSeek-R1-Distill-Qwen-1.5B,48.484848484848484,43.43434343434344,50.505050505050505,51.515151515151516,45.45454545454545,51.515151515151516,65.65656565656566,62.62626262626263,47.474747474747474,56.56565656565656,58.58585858585859,58.58585858585859,67.67676767676768,47.474747474747474,49.494949494949495,63.63636363636363,64.64646464646465,47.474747474747474,39.39393939393939,57.57575757575758,53.535353535353536,34.34343434343434,58.58585858585859,60.60606060606061,46.464646464646464,44.44444444444444,55.55555555555556,32.323232323232325,37.37373737373738,33.33333333333333,50.505050505050505,47.474747474747474,47.474747474747474,55.55555555555556,40.4040404040404,48.484848484848484,59.59595959595959,47.474747474747474,51.515151515151516,57.57575757575758,52.52525252525253,41.41414141414141,29.292929292929294,56.56565656565656,41.41414141414141,51.515151515151516,49.494949494949495,45.45454545454545,44.44444444444444,44.44444444444444,46.464646464646464,46.464646464646464,32.323232323232325,52.52525252525253,42.42424242424242
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,67.67676767676768,51.515151515151516,67.67676767676768,65.65656565656566,62.62626262626263,66.66666666666666,74.74747474747475,73.73737373737373,69.6969696969697,61.61616161616161,70.70707070707071,67.67676767676768,72.72727272727273,51.515151515151516,60.60606060606061,69.6969696969697,68.68686868686868,49.494949494949495,57.57575757575758,69.6969696969697,68.68686868686868,62.62626262626263,74.74747474747475,72.72727272727273,73.73737373737373,50.505050505050505,73.73737373737373,49.494949494949495,51.515151515151516,67.67676767676768,52.52525252525253,52.52525252525253,59.59595959595959,67.67676767676768,55.55555555555556,71.71717171717171,71.71717171717171,53.535353535353536,60.60606060606061,74.74747474747475,56.56565656565656,66.66666666666666,37.37373737373738,62.62626262626263,40.4040404040404,66.66666666666666,61.61616161616161,61.61616161616161,58.58585858585859,74.74747474747475,62.62626262626263,71.71717171717171,52.52525252525253,69.6969696969697,36.36363636363637
jwhj_Qwen2.5-Math-1.5B-OREO,32.323232323232325,27.27272727272727,31.313131313131315,35.35353535353536,36.36363636363637,32.323232323232325,43.43434343434344,39.39393939393939,32.323232323232325,36.36363636363637,37.37373737373738,38.38383838383838,46.464646464646464,21.21212121212121,21.21212121212121,45.45454545454545,39.39393939393939,26.262626262626267,29.292929292929294,30.303030303030305,34.34343434343434,27.27272727272727,39.39393939393939,44.44444444444444,38.38383838383838,33.33333333333333,34.34343434343434,32.323232323232325,27.27272727272727,31.313131313131315,27.27272727272727,26.262626262626267,35.35353535353536,36.36363636363637,26.262626262626267,31.313131313131315,38.38383838383838,22.22222222222222,44.44444444444444,40.4040404040404,31.313131313131315,26.262626262626267,30.303030303030305,42.42424242424242,28.28282828282828,33.33333333333333,32.323232323232325,25.252525252525253,28.28282828282828,34.34343434343434,36.36363636363637,35.35353535353536,29.292929292929294,34.34343434343434,31.313131313131315
nvidia_AceMath-1.5B-Instruct,64.64646464646465,45.45454545454545,58.58585858585859,61.61616161616161,67.67676767676768,65.65656565656566,74.74747474747475,68.68686868686868,68.68686868686868,65.65656565656566,64.64646464646465,63.63636363636363,72.72727272727273,52.52525252525253,60.60606060606061,70.70707070707071,72.72727272727273,46.464646464646464,50.505050505050505,62.62626262626263,62.62626262626263,63.63636363636363,66.66666666666666,67.67676767676768,66.66666666666666,47.474747474747474,71.71717171717171,48.484848484848484,53.535353535353536,62.62626262626263,51.515151515151516,48.484848484848484,57.57575757575758,61.61616161616161,59.59595959595959,66.66666666666666,72.72727272727273,48.484848484848484,67.67676767676768,75.75757575757575,61.61616161616161,60.60606060606061,35.35353535353536,73.73737373737373,40.4040404040404,62.62626262626263,45.45454545454545,52.52525252525253,52.52525252525253,62.62626262626263,61.61616161616161,62.62626262626263,52.52525252525253,69.6969696969697,36.36363636363637
nvidia_AceMath-7B-Instruct,76.76767676767676,67.67676767676768,73.73737373737373,60.60606060606061,65.65656565656566,73.73737373737373,59.59595959595959,63.63636363636363,74.74747474747475,63.63636363636363,71.71717171717171,75.75757575757575,70.70707070707071,53.535353535353536,65.65656565656566,78.78787878787878,63.63636363636363,67.67676767676768,62.62626262626263,72.72727272727273,61.61616161616161,54.54545454545454,64.64646464646465,76.76767676767676,63.63636363636363,52.52525252525253,73.73737373737373,69.6969696969697,73.73737373737373,66.66666666666666,49.494949494949495,48.484848484848484,57.57575757575758,75.75757575757575,76.76767676767676,56.56565656565656,69.6969696969697,68.68686868686868,74.74747474747475,56.56565656565656,71.71717171717171,76.76767676767676,33.33333333333333,67.67676767676768,46.464646464646464,74.74747474747475,59.59595959595959,56.56565656565656,50.505050505050505,71.71717171717171,43.43434343434344,62.62626262626263,65.65656565656566,75.75757575757575,59.59595959595959
o3-mini,85.85858585858585,86.86868686868688,86.86868686868688,86.86868686868688,87.87878787878788,87.87878787878788,85.85858585858585,84.84848484848484,84.84848484848484,84.84848484848484,85.85858585858585,86.86868686868688,83.83838383838383,84.84848484848484,86.86868686868688,86.86868686868688,87.87878787878788,83.83838383838383,81.81818181818183,83.83838383838383,86.86868686868688,84.84848484848484,82.82828282828282,86.86868686868688,86.86868686868688,77.77777777777779,87.87878787878788,85.85858585858585,83.83838383838383,85.85858585858585,83.83838383838383,79.7979797979798,82.82828282828282,87.87878787878788,81.81818181818183,82.82828282828282,87.87878787878788,81.81818181818183,85.85858585858585,87.87878787878788,85.85858585858585,87.87878787878788,72.72727272727273,86.86868686868688,79.7979797979798,85.85858585858585,84.84848484848484,82.82828282828282,84.84848484848484,84.84848484848484,84.84848484848484,84.84848484848484,85.85858585858585,85.85858585858585,83.83838383838383
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,72.72727272727273,63.63636363636363,69.6969696969697,74.74747474747475,78.78787878787878,72.72727272727273,75.75757575757575,75.75757575757575,76.76767676767676,71.71717171717171,69.6969696969697,70.70707070707071,80.8080808080808,69.6969696969697,71.71717171717171,78.78787878787878,71.71717171717171,71.71717171717171,52.52525252525253,77.77777777777779,80.8080808080808,69.6969696969697,74.74747474747475,72.72727272727273,77.77777777777779,65.65656565656566,80.8080808080808,71.71717171717171,76.76767676767676,75.75757575757575,61.61616161616161,57.57575757575758,58.58585858585859,72.72727272727273,75.75757575757575,72.72727272727273,78.78787878787878,55.55555555555556,72.72727272727273,72.72727272727273,74.74747474747475,75.75757575757575,41.41414141414141,81.81818181818183,48.484848484848484,75.75757575757575,69.6969696969697,60.60606060606061,52.52525252525253,78.78787878787878,67.67676767676768,74.74747474747475,67.67676767676768,80.8080808080808,62.62626262626263
